Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
1414;OUAGADOUGOU;SILMIOUGOU;COMMERCE ORDINAIRE ANGLE;759;45000;34155000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1415;OUAGADOUGOU;SILMIOUGOU;COMMERCE;500;40000;20000000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1416;OUAGADOUGOU;SILMIOUGOU;COMMERCE;500;40000;20000000;1000;ACOMPTE 50%;04/12/2023;04/12/2024;NON DEFINI;NON DEFINI;OUI;OUI
1417;OUAGADOUGOU;SILMIOUGOU;COMMERCE;474;55000;26070000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1418;OUAGADOUGOU;SILMIOUGOU;COMMERCE  A L'ANGLE;500;50000;25000000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1419;OUAGADOUGOU;SILMIOUGOU;COMMERCE  A L'ANGLE;500;50000;25000000;1000;ACOMPTE 50%;15/11/2023;07/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1420;OUAGADOUGOU;SILMIOUGOU;COMMERCE  A L'ANGLE;500;50000;25000000;1000;ACOMPTE 50%;17/11/2023;17/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1421;OUAGADOUGOU;SILMIOUGOU;COMMERCE;645;55000;35475000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1422;OUAGADOUGOU;SILMIOUGOU;COMMERCE ORDINAIRE ANGLE;474;45000;21330000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1423;OUAGADOUGOU;SILMIOUGOU;COMMERCE;500;40000;20000000;1000;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1424;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;513;28000;14364000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1425;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1426;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1427;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1428;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1429;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1430;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;21/11/2023;21/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1431;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1432;OUAGADOUGOU;SILMIOUGOU;HABITATION;500;26000;13000000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
