Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
1;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;439;55000;24145000;1500;ACOMPTE 50%;11/01/2023;11/01/2024;NON DEFINI;NON DEFINI;OUI;OUI
2;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;02/09/2021;25/01/2024;NON DEFINI;NON DEFINI;OUI;OUI
3;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
4;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
5;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;14/12/2023;14/12/2024;NON DEFINI;NON DEFINI;OUI;OUI
6;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
7;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;400;55000;22000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;OUI;OUI;OUI;OUI
8;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;539;55000;29645000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
9;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;09/03/2023;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
10;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;13/05/2022;30/12/2022;NON;NON;OUI;OUI
11;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
12;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;17/03/2023;17/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
13;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;508;55000;27940000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
14;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;545;55000;29975000;1500;ACOMPTE 50%;28/10/2020;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
15;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
16;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
17;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
18;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;450;50000;22500000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON;NON;OUI;OUI
19;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;595;55000;32725000;1500;ACOMPTE 50%;28/10/2020;31/07/2022;NON;OUI;OUI;OUI
20;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;522;55000;28710000;1500;ACOMPTE 50%;28/10/2020;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
21;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
22;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
23;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;17/03/2023;17/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
24;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;02/09/2021;19/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
25;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;573;55000;31515000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;OUI;OUI;OUI
26;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;441;55000;24255000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;OUI;OUI;OUI;OUI
27;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
28;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
29;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON;NON DEFINI;OUI;OUI
30;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;491;55000;27005000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
31;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;584;55000;32120000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
32;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
33;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
34;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
35;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
36;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;665;55000;36575000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
37;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;589;55000;32395000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;OUI;OUI;OUI
38;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
39;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
40;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;27/03/2023;NON DEFINI;NON DEFINI;OUI;OUI
41;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
42;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;654;55000;35970000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
43;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;522;55000;28710000;1500;ACOMPTE 50%;28/10/2020;31/07/2022;NON;NON;OUI;OUI
44;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;27/03/2023;OUI;NON DEFINI;OUI;OUI
45;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
46;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;OUI;OUI;OUI
47;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;OUI;OUI;OUI;OUI
48;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;567;55000;31185000;1500;ACOMPTE 50%;04/05/2021;08/05/2023;NON DEFINI;NON DEFINI;OUI;OUI
49;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;475;55000;26125000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;OUI;OUI;OUI
50;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;486;50000;24300000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON;OUI;OUI;OUI
51;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;486;50000;24300000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON;OUI;OUI;OUI
52;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;486;50000;24300000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON;OUI;OUI;OUI
53;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;475;55000;26125000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
54;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;492;55000;27060000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
55;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;497;50000;24850000;1500;ACOMPTE 50%;16/03/2022;31/10/2023;NON DEFINI;NON DEFINI;OUI;OUI
56;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;497;50000;24850000;1500;ACOMPTE 50%;04/05/2021;31/07/2022;NON;OUI;OUI;OUI
57;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;497;50000;24850000;1500;ACOMPTE 50%;04/05/2021;31/08/2022;NON DEFINI;NON DEFINI;OUI;OUI
58;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;493;55000;27115000;1500;ACOMPTE 50%;28/10/2020;30/12/2022;NON;NON;OUI;OUI
59;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;491;55000;27005000;1500;ACOMPTE 50%;13/05/2022;19/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
60;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;29/01/2024;29/01/2025;NON DEFINI;NON DEFINI;OUI;OUI
61;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;30/01/2024;NON DEFINI;NON DEFINI;OUI;OUI
62;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;16/03/2022;30/12/2022;NON;NON;OUI;OUI
63;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;490;55000;26950000;1500;ACOMPTE 50%;02/09/2021;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
64;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;491;55000;27005000;1500;ACOMPTE 50%;02/09/2021;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
65;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
66;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
67;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;27/03/2023;NON DEFINI;NON DEFINI;OUI;OUI
68;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;455;55000;25025000;1500;ACOMPTE 50%;13/05/2022;30/11/2022;NON;NON;OUI;OUI
69;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;523;55000;28765000;1500;ACOMPTE 50%;28/10/2022;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
70;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;15/11/2023;15/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
71;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;16/03/2022;31/07/2022;NON;NON;OUI;OUI
72;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;13/05/2022;30/12/2022;NON;NON;OUI;OUI
73;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
74;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;567;55000;31185000;1500;ACOMPTE 50%;25/01/2022;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
75;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;615;55000;33825000;1500;ACOMPTE 50%;02/09/2021;31/10/2023;NON DEFINI;NON DEFINI;OUI;OUI
76;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2022;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
77;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;02/09/2021;31/07/2022;NON;NON;OUI;OUI
78;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;02/09/2021;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
79;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;02/09/2021;31/07/2022;NON;NON;OUI;OUI
80;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;627;55000;34485000;1500;ACOMPTE 50%;02/09/2021;31/07/2022;NON DEFINI;NON DEFINI;OUI;OUI
81;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;484;55000;26620000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
82;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;OUI;OUI;OUI;OUI
83;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2020;31/07/2022;NON;OUI;OUI;OUI
84;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;30/08/2023;31/08/2024;NON DEFINI;NON DEFINI;OUI;OUI
85;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;OUI;OUI;OUI;OUI
86;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;564;55000;31020000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
87;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;559;55000;30745000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
88;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
89;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
90;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;03/11/2023;03/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
91;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;28/10/2020;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
92;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;485;55000;26675000;1500;ACOMPTE 50%;03/07/2020;31/07/2022;NON;NON;OUI;OUI
93;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;577;55000;31735000;1500;ACOMPTE 50%;28/10/2020;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
94;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
95;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;25/09/2023;25/09/2024;NON DEFINI;NON DEFINI;OUI;OUI
96;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE  A L'ANGLE;500;50000;25000000;1500;ACOMPTE 50%;09/03/2023;09/03/2024;NON DEFINI;NON DEFINI;OUI;OUI
97;OUAGADOUGOU;BASSINKO SITE - BA;COMMERCE ANGLE 1 BITUME;554;55000;30470000;1500;ACOMPTE 50%;28/10/2022;31/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
98;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;2688;190000;510720000;3000;ACOMPTE 50%;04/05/2021;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
99;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;2391;190000;454290000;3000;ACOMPTE 50%;04/05/2021;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
100;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;2688;190000;510720000;3000;ACOMPTE 50%;06/01/2021;26/08/2021;NON DEFINI;NON DEFINI;OUI;OUI
101;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;2391;190000;454290000;3000;ACOMPTE 50%;06/01/2021;26/08/2021;NON DEFINI;NON DEFINI;OUI;OUI
102;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;796;100000;79600000;3000;COMPTANT;31/12/2018;14/02/2019;NON DEFINI;NON DEFINI;OUI;OUI
103;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;809;95000;76855000;3000;COMPTANT;31/12/2018;14/02/2019;NON DEFINI;NON DEFINI;OUI;OUI
104;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;809;95000;76855000;3000;COMPTANT;31/12/2018;14/02/2019;NON DEFINI;NON DEFINI;OUI;OUI
105;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;809;95000;76855000;3000;COMPTANT;31/12/2018;14/02/2019;NON DEFINI;NON DEFINI;OUI;OUI
106;OUAGADOUGOU;CISSIN 2020 - SITE G;COMMERCE;796;100000;79600000;3000;COMPTANT;31/12/2018;14/02/2019;NON DEFINI;NON DEFINI;OUI;OUI
107;OUAGADOUGOU;OUAGA 2000 - SITE A;COMMUNAUTAIRE;5575;15000;83625000;300;COMPTANT;20/12/2018;30/06/2022;NON;OUI;OUI;OUI
108;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;834;40000;33360000;500;COMPTANT;19/12/2018;30/12/2022;NON;NON DEFINI;OUI;OUI
109;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;805;40000;32200000;500;COMPTANT;19/12/2018;30/12/2022;NON;NON DEFINI;OUI;OUI
110;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;805;40000;32200000;500;COMPTANT;19/12/2018;30/06/2022;NON;NON DEFINI;OUI;OUI
111;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;805;40000;32200000;500;ACOMPTE 30%;31/12/2019;30/06/2022;OUI;NON DEFINI;OUI;OUI
112;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;834;55000;45870000;500;ACOMPTE 30%;20/12/2019;30/06/2022;NON;OUI;OUI;OUI
113;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;834;55000;45870000;500;COMPTANT;12/12/2018;30/06/2022;NON;NON;OUI;OUI
114;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;805;50000;40250000;500;COMPTANT;14/12/2018;30/06/2022;NON;NON;OUI;OUI
115;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;805;50000;40250000;500;COMPTANT;14/12/2018;30/06/2022;NON;NON;OUI;OUI
116;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;805;50000;40250000;500;COMPTANT;13/12/2018;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
117;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;834;55000;45870000;500;COMPTANT;13/12/2018;30/12/2022;NON;NON;OUI;OUI
118;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1014;55000;55770000;500;ACOMPTE 30%;23/01/2019;30/06/2022;NON;NON DEFINI;OUI;OUI
119;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;978;50000;48900000;500;ACOMPTE 30%;23/01/2019;30/06/2022;NON;NON DEFINI;OUI;OUI
120;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;978;50000;48900000;500;COMPTANT;20/12/2018;30/06/2022;NON;NON;OUI;OUI
121;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;978;50000;48900000;500;COMPTANT;20/12/2018;30/06/2022;NON DEFINI;NON DEFINI;OUI;OUI
122;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1014;55000;55770000;500;ACOMPTE 30%;23/04/2020;30/06/2022;NON DEFINI;NON DEFINI;OUI;OUI
123;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1014;55000;55770000;500;ACOMPTE 30%;25/07/2019;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
124;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;978;50000;48900000;500;ACOMPTE 30%;14/05/2019;30/12/2022;NON;NON DEFINI;OUI;OUI
125;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;978;50000;48900000;500;ACOMPTE 30%;14/05/2019;30/12/2022;NON;NON DEFINI;OUI;OUI
126;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1014;55000;55770000;500;ACOMPTE 30%;25/07/2019;30/06/2022;NON;NON DEFINI;OUI;OUI
127;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;4000;55000;220000000;500;COMPTANT;27/12/2018;30/06/2022;NON;NON DEFINI;OUI;OUI
128;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;3657;50000;182850000;500;ACOMPTE 30%;27/11/2020;30/06/2022;OUI;NON DEFINI;OUI;OUI
129;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;4000;55000;220000000;500;COMPTANT;27/12/2018;30/06/2022;NON;NON DEFINI;OUI;OUI
130;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1492;55000;82060000;500;ACOMPTE 30%;28/10/2020;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
131;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1495;55000;82225000;500;ACOMPTE 30%;16/05/2019;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
132;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1419;50000;70950000;500;ACOMPTE 30%;16/05/2019;28/02/2024;NON DEFINI;NON DEFINI;OUI;OUI
133;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1419;50000;70950000;500;ACOMPTE 30%;25/07/2019;30/06/2022;NON;NON DEFINI;OUI;OUI
134;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1502;55000;82610000;500;ACOMPTE 30%;25/07/2019;30/06/2022;NON;NON DEFINI;OUI;OUI
135;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1500;55000;82500000;500;ACOMPTE 30%;28/10/2020;30/06/2022;NON;NON DEFINI;OUI;OUI
136;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1419;50000;70950000;500;ACOMPTE 30%;20/12/2019;30/06/2022;NON;OUI;OUI;OUI
137;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1419;50000;70950000;500;ACOMPTE 30%;28/10/2020;30/12/2022;NON DEFINI;NON DEFINI;OUI;OUI
138;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;1221;50000;61050000;500;COMPTANT;12/12/2018;30/06/2022;NON;OUI;OUI;OUI
139;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;2387;14000;33418000;500;ACOMPTE 30%;15/11/2019;30/06/2022;NON;NON;OUI;OUI
140;OUAGADOUGOU;OUAGA 2000 - SITE A;COMMERCE;4275;60000;256500000;3000;COMPTANT;31/12/2018;30/06/2022;NON;NON;OUI;OUI
141;OUAGADOUGOU;OUAGA 2000 - SITE A;COMMERCE;13611;25500;347080500;3000;ACOMPTE 50%;14/01/2021;30/12/2022;NON;NON;OUI;OUI
142;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;82;50000;4100000;500;ACOMPTE 30%;19/07/2018;30/06/2022;NON;NON;OUI;OUI
143;OUAGADOUGOU;OUAGA 2000 - SITE A;HABITATION;134;25000;3350000;500;ACOMPTE 30%;12/05/2020;30/06/2022;NON;OUI;OUI;OUI
144;OUAGADOUGOU;OUAGA 2000 - SITE A;COMMUNAUTAIRE;2475;25000;61875000;300;ACOMPTE 50%;08/12/2022;08/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
